Date,Num_Children,Food_Remaining,Daily_Need,Food_Used,Donation_Amount,Expense_Total,Budget_Left,Food_Shortage,Suggested_Purchase,Quantity_To_Buy,Estimated_Cost,Emergency_Event,Medical_Treatment,Medical_Cost,Utility_Type,Utility_Cost,Staff_On_Duty,Notes,Food_Per_Child,Donation_Per_Child,Budget_Per_Child,Cost_Per_Child,Food_Shortage_Per_Child,Remaining_Days_Covered,Emergency_Flag,Medical_Flag,High_Utility_Cost
2014-11-28,83,35,83,33,15296,39457,-24161,48,Vegetables,48,82752,None,Fever,7535,Electricity,39943,7,Check food/donations,0.4,184.29,-291.1,1047.41,0.58,0.42,0,1,1
2019-09-07,87,61,87,40,146335,27338,118997,26,Beans,26,51168,None,Flu,22553,Water,24713,10,Check food/donations,0.46,1682.01,1367.78,857.52,0.3,0.7,0,1,0
2018-04-09,21,67,21,27,23444,57473,-34029,0,None,0,0,None,Malaria,22569,Electricity,46228,4,Check food/donations,1.29,1116.38,-1620.43,6012.86,0.0,3.19,0,1,1
2017-06-21,24,51,24,6,117911,76279,41632,0,None,0,0,None,Fever,19528,Gas,37555,7,Stable,0.25,4912.96,1734.67,5556.75,0.0,2.12,0,1,1
2003-08-31,29,55,29,11,6833,49427,-42594,0,None,0,0,None,Flu,8372,Electricity,33135,4,Check food/donations,0.38,235.62,-1468.76,3135.66,0.0,1.9,0,1,1
2000-02-11,24,58,24,9,64049,118879,-54830,0,None,0,0,Water Shortage,Diarrhea,27669,Internet,36706,6,Check food/donations,0.38,2668.71,-2284.58,7635.58,0.0,2.42,1,1,1
2016-07-30,51,11,51,7,68642,81953,-13311,40,Beans,40,64840,None,Fever,24123,Gas,48080,5,Check food/donations,0.14,1345.92,-261.0,3022.67,0.78,0.22,0,1,1
2006-01-22,23,96,23,36,145236,51507,93729,0,None,0,0,None,Flu,24502,Water,29150,10,Stable,1.57,6314.61,4075.17,4572.13,0.0,4.17,0,1,0
2015-08-21,68,87,68,6,131216,42271,88945,0,None,0,0,Power Outage,None,0,Water,35292,5,Stable,0.09,1929.65,1308.01,1140.63,0.0,1.28,1,0,1
2000-05-01,47,88,47,17,133667,110941,22726,0,None,0,0,None,Diarrhea,7533,Gas,42189,10,Stable,0.36,2843.98,483.53,3418.36,0.0,1.87,0,1,1
2016-04-23,60,74,60,16,36752,43104,-6352,0,None,0,0,Power Outage,Fever,24348,Internet,28264,3,Check food/donations,0.27,612.53,-105.87,1595.27,0.0,1.23,1,1,0
2008-04-13,67,49,67,40,22087,48262,-26175,18,Maize Flour,18,27072,None,Diarrhea,17455,Electricity,48736,4,Check food/donations,0.6,329.66,-390.67,1708.25,0.27,0.73,0,1,1
1999-08-28,21,81,21,7,107844,83973,23871,0,None,0,0,None,Fever,20907,Internet,43669,7,Stable,0.33,5135.43,1136.71,7073.76,0.0,3.86,0,1,1
2001-12-24,71,92,71,23,39264,99009,-59745,0,None,0,0,Fire,Diarrhea,7811,Internet,40294,9,Check food/donations,0.32,553.01,-841.48,2072.03,0.0,1.3,1,1,1
2002-04-04,71,79,71,38,61003,75668,-14665,0,None,0,0,None,Malaria,5917,Gas,41483,8,Check food/donations,0.54,859.2,-206.55,1733.35,0.0,1.11,0,1,1
2010-10-11,80,26,80,15,32877,77231,-44354,54,Beans,54,93744,Fire,Malaria,6553,Gas,18366,10,Check food/donations,0.19,410.96,-554.42,1276.88,0.68,0.33,1,1,0
2003-11-12,44,46,44,34,40390,117212,-76822,0,None,0,0,None,Diarrhea,6053,Electricity,32226,4,Check food/donations,0.77,917.95,-1745.95,3533.89,0.0,1.05,0,1,1
2001-12-26,96,20,96,5,20115,61495,-41380,76,Rice,76,121144,None,Flu,1952,Gas,29795,8,Check food/donations,0.05,209.53,-431.04,971.27,0.79,0.21,0,1,0
2007-12-29,55,66,55,26,44916,25735,19181,0,None,0,0,None,Fever,1440,Water,30876,8,Stable,0.47,816.65,348.75,1055.47,0.0,1.2,0,1,1
2000-05-08,87,46,87,11,94884,33905,60979,41,Vegetables,41,63222,None,None,0,Electricity,38797,5,Check food/donations,0.13,1090.62,700.91,835.66,0.47,0.53,0,0,1
2012-03-05,59,33,59,6,27324,65085,-37761,26,Beans,26,49842,None,None,0,Water,40339,4,Check food/donations,0.1,463.12,-640.02,1786.85,0.44,0.56,0,0,1
2013-09-05,61,90,61,5,84281,113489,-29208,0,None,0,0,Power Outage,None,0,Internet,39489,6,Check food/donations,0.08,1381.66,-478.82,2507.84,0.0,1.48,1,0,1
2020-05-31,26,33,26,5,18465,51057,-32592,0,None,0,0,None,Flu,4539,Gas,10938,9,Check food/donations,0.19,710.19,-1253.54,2559.0,0.0,1.27,0,1,0
2010-06-17,55,60,55,12,29212,108032,-78820,0,None,0,0,Fire,Malaria,18626,Internet,47018,10,Check food/donations,0.22,531.13,-1433.09,3157.75,0.0,1.09,1,1,1
2001-01-23,55,24,55,11,59853,70770,-10917,31,Vegetables,31,58032,None,Flu,1447,Electricity,34528,7,Check food/donations,0.2,1088.24,-198.49,1940.82,0.56,0.44,0,1,1
2016-02-12,78,78,78,22,96695,96000,695,0,None,0,0,None,Fever,7568,Water,34373,9,Stable,0.28,1239.68,8.91,1768.47,0.0,1.0,0,1,1
2012-04-13,41,19,41,10,12196,21401,-9205,22,Rice,22,39314,None,Malaria,8702,Internet,16876,5,Check food/donations,0.24,297.46,-224.51,1145.83,0.54,0.46,0,1,0
2017-11-04,79,48,79,20,2427,58810,-56383,31,Vegetables,31,49104,None,Diarrhea,16866,Internet,12032,9,Check food/donations,0.25,30.72,-713.71,1110.23,0.39,0.61,0,1,0
2016-10-21,33,21,33,15,20603,49667,-29064,12,Vegetables,12,19056,None,Flu,25744,Internet,49166,10,Check food/donations,0.45,624.33,-880.73,3775.06,0.36,0.64,0,1,1
2010-05-13,97,36,97,12,2746,116471,-113725,61,Maize Flour,61,100223,None,Malaria,14314,Internet,37029,8,Check food/donations,0.12,28.31,-1172.42,1730.04,0.63,0.37,0,1,1
2017-09-14,33,60,33,32,6126,87759,-81633,0,None,0,0,None,Diarrhea,10963,Internet,43865,8,Check food/donations,0.97,185.64,-2473.73,4320.82,0.0,1.82,0,1,1
2016-09-27,23,76,23,17,71593,26432,45161,0,None,0,0,Fire,Diarrhea,21735,Internet,48362,3,Stable,0.74,3112.74,1963.52,4196.91,0.0,3.3,1,1,1
2012-06-19,20,77,20,29,99829,76396,23433,0,None,0,0,None,Flu,6791,Water,10200,7,Stable,1.45,4991.45,1171.65,4669.35,0.0,3.85,0,1,0
2006-02-10,81,93,81,14,50191,103154,-52963,0,None,0,0,None,Flu,15579,Water,27042,10,Check food/donations,0.17,619.64,-653.86,1799.69,0.0,1.15,0,1,0
2012-09-02,23,40,23,16,86159,67413,18746,0,None,0,0,None,Diarrhea,23701,Electricity,38994,3,Stable,0.7,3746.04,815.04,5656.87,0.0,1.74,0,1,1
2003-12-17,55,48,55,8,3374,84940,-81566,7,Maize Flour,7,13153,Power Outage,Fever,13437,Internet,40953,7,Check food/donations,0.15,61.35,-1483.02,2533.27,0.13,0.87,1,1,1
2001-07-07,56,37,56,17,96150,83902,12248,19,Rice,19,32794,Sickness,Diarrhea,4907,Gas,22784,5,Check food/donations,0.3,1716.96,218.71,1992.73,0.34,0.66,1,1,0
2003-10-04,88,27,88,21,91779,99218,-7439,61,Rice,61,112057,Power Outage,Malaria,5386,Internet,27100,10,Check food/donations,0.24,1042.94,-84.53,1496.64,0.69,0.31,1,1,0
2006-05-27,52,44,52,29,124582,24644,99938,8,Beans,8,14760,None,Malaria,5476,Electricity,40040,9,Check food/donations,0.56,2395.81,1921.88,1349.23,0.15,0.85,0,1,1
2008-02-14,87,25,87,20,94769,64986,29783,62,Maize Flour,62,103602,None,None,0,Electricity,12368,8,Check food/donations,0.23,1089.3,342.33,889.13,0.71,0.29,0,0,0
2012-05-26,52,92,52,10,81119,117084,-35965,0,None,0,0,Fire,None,0,Internet,17834,3,Check food/donations,0.19,1559.98,-691.63,2594.58,0.0,1.77,1,0,0
2012-03-24,23,62,23,11,32605,93842,-61237,0,None,0,0,None,None,0,Electricity,14267,7,Check food/donations,0.48,1417.61,-2662.48,4700.39,0.0,2.7,0,0,0
2017-10-04,36,17,36,9,112508,60059,52449,19,Rice,19,31844,None,None,0,Water,29533,4,Check food/donations,0.25,3125.22,1456.92,2488.67,0.53,0.47,0,0,0
2019-11-02,83,38,83,16,59002,89649,-30647,45,Vegetables,45,72135,None,Malaria,4331,Internet,14167,9,Check food/donations,0.19,710.87,-369.24,1302.98,0.54,0.46,0,1,0
2017-06-22,34,91,34,14,63771,39971,23800,0,None,0,0,None,Diarrhea,29294,Water,45714,9,Stable,0.41,1875.62,700.0,3381.74,0.0,2.68,0,1,1
2018-11-18,42,11,42,8,26276,92448,-66172,31,Beans,31,51429,Power Outage,Fever,12199,Electricity,10911,5,Check food/donations,0.19,625.62,-1575.52,2751.38,0.74,0.26,1,1,0
2000-01-08,88,91,88,15,25448,23722,1726,0,None,0,0,None,Diarrhea,29462,Internet,21417,6,Stable,0.17,289.18,19.61,847.74,0.0,1.03,0,1,0
2001-06-15,50,16,50,12,73350,78624,-5274,34,Rice,34,65994,Sickness,Flu,13372,Internet,36560,10,Check food/donations,0.24,1467.0,-105.48,2571.12,0.68,0.32,1,1,1
2013-10-06,74,30,74,16,115317,45914,69403,44,Beans,44,85008,None,Flu,11605,Water,12510,6,Check food/donations,0.22,1558.34,937.88,946.34,0.59,0.41,0,1,0
2019-07-19,29,35,29,6,32875,104212,-71337,0,None,0,0,None,Malaria,25515,Internet,24092,4,Check food/donations,0.21,1133.62,-2459.9,5304.1,0.0,1.21,0,1,0
1999-02-26,33,19,33,19,129323,30973,98350,14,Rice,14,26530,None,Diarrhea,13408,Gas,17124,5,Check food/donations,0.58,3918.88,2980.3,1863.79,0.42,0.58,0,1,0
2016-01-16,65,50,65,23,107963,65875,42088,15,Beans,15,25860,None,Diarrhea,13666,Electricity,10131,5,Check food/donations,0.35,1660.97,647.51,1379.57,0.23,0.77,0,1,0
2003-09-12,93,89,93,7,94810,24098,70712,4,Rice,4,6764,Power Outage,Diarrhea,18001,Internet,27560,9,Check food/donations,0.08,1019.46,760.34,749.02,0.04,0.96,1,1,0
2013-12-08,70,62,70,40,128041,70952,57089,8,Maize Flour,8,14632,None,Flu,9898,Water,43185,4,Check food/donations,0.57,1829.16,815.56,1771.93,0.11,0.89,0,1,1
2019-01-07,30,67,30,40,76954,37843,39111,0,None,0,0,None,None,0,Water,47096,7,Stable,1.33,2565.13,1303.7,2831.3,0.0,2.23,0,0,1
2006-02-25,86,60,86,9,48697,81270,-32573,26,Beans,26,39390,Fire,Fever,12311,Electricity,27055,8,Check food/donations,0.1,566.24,-378.76,1402.74,0.3,0.7,1,1,0
2006-03-29,28,82,28,27,1530,103337,-101807,0,None,0,0,Fire,None,0,Electricity,41877,6,Check food/donations,0.96,54.64,-3635.96,5186.21,0.0,2.93,1,0,1
2008-06-22,35,37,35,32,142442,91663,50779,0,None,0,0,Water Shortage,Diarrhea,10205,Water,41107,5,Stable,0.91,4069.77,1450.83,4085.0,0.0,1.06,1,1,1
2005-10-02,77,75,77,26,99033,68836,30197,2,Vegetables,2,3526,Fire,Diarrhea,14456,Water,18777,6,Check food/donations,0.34,1286.14,392.17,1325.57,0.03,0.97,1,1,0
2019-02-27,50,71,50,5,544,114885,-114341,0,None,0,0,None,Malaria,23447,Gas,16331,5,Check food/donations,0.1,10.88,-2286.82,3093.26,0.0,1.42,0,1,0
2002-12-22,40,22,40,13,56435,93682,-37247,18,Maize Flour,18,29232,None,Diarrhea,3760,Electricity,49565,10,Check food/donations,0.33,1410.88,-931.17,3675.18,0.45,0.55,0,1,1
2005-11-03,48,100,48,17,118645,32853,85792,0,None,0,0,None,None,0,Electricity,28060,10,Stable,0.35,2471.77,1787.33,1269.02,0.0,2.08,0,0,0
2004-10-10,46,32,46,24,28538,26646,1892,14,Beans,14,25970,None,Flu,27813,Gas,26232,7,Check food/donations,0.52,620.39,41.13,1754.15,0.3,0.7,0,1,0
2005-05-22,41,16,41,6,111041,74440,36601,25,Beans,25,44750,None,Diarrhea,21369,Water,31970,5,Check food/donations,0.15,2708.32,892.71,3116.56,0.61,0.39,0,1,1
2010-01-25,96,35,96,7,133786,108103,25683,61,Beans,61,112362,None,Malaria,20475,Gas,16021,5,Check food/donations,0.07,1393.6,267.53,1506.24,0.64,0.36,0,1,0
2004-03-25,47,88,47,15,65123,102574,-37451,0,None,0,0,None,Fever,9314,Internet,47561,10,Check food/donations,0.32,1385.6,-796.83,3392.53,0.0,1.87,0,1,1
2006-07-06,79,65,79,5,11132,25316,-14184,14,Maize Flour,14,25690,None,Diarrhea,19023,Gas,44299,8,Check food/donations,0.06,140.91,-179.54,1122.0,0.18,0.82,0,1,1
2003-08-02,20,28,20,8,20844,84902,-64058,0,None,0,0,None,None,0,Internet,36536,4,Check food/donations,0.4,1042.2,-3202.9,6071.9,0.0,1.4,0,0,1
2014-04-30,100,91,100,34,119289,39335,79954,9,Vegetables,9,13725,Sickness,Flu,7440,Internet,17153,8,Check food/donations,0.34,1192.89,799.54,639.28,0.09,0.91,1,1,0
2001-06-12,44,34,44,26,50393,55922,-5529,10,Beans,10,19650,None,Malaria,13491,Water,28937,4,Check food/donations,0.59,1145.3,-125.66,2235.23,0.23,0.77,0,1,0
2014-10-11,67,30,67,16,129814,30408,99406,37,Rice,37,58793,Fire,Diarrhea,13554,Gas,39378,3,Check food/donations,0.24,1937.52,1483.67,1243.88,0.55,0.45,1,1,1
2005-08-18,42,30,42,20,39655,114086,-74431,12,Rice,12,23760,None,Diarrhea,27029,Internet,37745,3,Check food/donations,0.48,944.17,-1772.17,4258.57,0.29,0.71,0,1,1
2016-04-21,61,24,61,21,127189,51821,75368,37,Maize Flour,37,59829,None,Diarrhea,1257,Water,38900,9,Check food/donations,0.34,2085.07,1235.54,1507.84,0.61,0.39,0,1,1
2015-11-25,90,66,90,7,42753,51426,-8673,24,Maize Flour,24,40032,None,Fever,1615,Internet,42769,10,Check food/donations,0.08,475.03,-96.37,1064.56,0.27,0.73,0,1,1
2003-09-17,100,24,100,10,75436,45961,29475,76,Beans,76,128972,Power Outage,Diarrhea,10013,Electricity,21767,9,Check food/donations,0.1,754.36,294.75,777.41,0.76,0.24,1,1,0
2016-11-26,31,96,31,8,96330,23724,72606,0,None,0,0,Power Outage,Fever,19198,Gas,14091,8,Stable,0.26,3107.42,2342.13,1839.13,0.0,3.1,1,1,0
2006-04-13,55,47,55,9,105749,25931,79818,8,Maize Flour,8,13960,None,None,0,Water,14247,3,Check food/donations,0.16,1922.71,1451.24,730.51,0.15,0.85,0,0,0
2008-08-03,48,73,48,12,21581,110537,-88956,0,None,0,0,Water Shortage,Diarrhea,27649,Gas,13937,4,Check food/donations,0.25,449.6,-1853.25,3169.23,0.0,1.52,1,1,0
2019-10-20,67,11,67,9,25957,60480,-34523,56,Maize Flour,56,102760,Power Outage,Fever,23440,Water,17330,5,Check food/donations,0.13,387.42,-515.27,1511.19,0.84,0.16,1,1,0
2001-08-03,83,10,83,9,58299,111422,-53123,73,Vegetables,73,118333,None,None,0,Water,29323,6,Check food/donations,0.11,702.4,-640.04,1695.72,0.88,0.12,0,0,0
2002-05-15,79,54,79,14,10038,96813,-86775,25,Rice,25,42550,None,Diarrhea,22226,Water,39805,8,Check food/donations,0.18,127.06,-1098.42,2010.68,0.32,0.68,0,1,1
2007-12-03,91,38,91,10,142621,43164,99457,53,Vegetables,53,90206,None,Flu,20771,Water,17442,3,Check food/donations,0.11,1567.26,1092.93,894.25,0.58,0.42,0,1,0
2008-07-07,21,12,21,9,77385,79895,-2510,9,Maize Flour,9,15264,Fire,Diarrhea,8018,Gas,21300,8,Check food/donations,0.43,3685.0,-119.52,5200.62,0.43,0.57,1,1,0
2008-10-19,75,49,75,33,3914,83924,-80010,26,Maize Flour,26,45994,Fire,Fever,29693,Internet,42850,3,Check food/donations,0.44,52.19,-1066.8,2086.23,0.35,0.65,1,1,1
2017-03-22,65,50,65,13,44520,55024,-10504,15,Beans,15,26325,None,None,0,Internet,44066,3,Check food/donations,0.2,684.92,-161.6,1524.46,0.23,0.77,0,0,1
2020-03-20,75,100,75,23,128755,70035,58720,0,None,0,0,Water Shortage,Fever,24947,Internet,33731,8,Stable,0.31,1716.73,782.93,1716.17,0.0,1.33,1,1,1
2004-04-02,88,55,88,24,149647,99461,50186,33,Vegetables,33,63228,None,Malaria,5851,Gas,15629,8,Check food/donations,0.27,1700.53,570.3,1374.33,0.38,0.62,0,1,0
2004-10-15,96,49,96,30,42767,43922,-1155,47,Maize Flour,47,93953,None,Diarrhea,15792,Water,48495,5,Check food/donations,0.31,445.49,-12.03,1127.18,0.49,0.51,0,1,1
2008-03-30,66,80,66,11,28800,36073,-7273,0,None,0,0,Power Outage,None,0,Internet,42967,9,Check food/donations,0.17,436.36,-110.2,1197.58,0.0,1.21,1,0,1
2010-05-31,32,68,32,25,81373,72471,8902,0,None,0,0,Power Outage,Malaria,29996,Gas,33883,8,Stable,0.78,2542.91,278.19,4260.94,0.0,2.12,1,1,1
2017-09-26,54,78,54,34,105398,64771,40627,0,None,0,0,Sickness,Fever,15990,Electricity,35837,4,Stable,0.63,1951.81,752.35,2159.22,0.0,1.44,1,1,1
2015-01-02,37,63,37,6,72130,95580,-23450,0,None,0,0,Water Shortage,Flu,14709,Electricity,40690,5,Check food/donations,0.16,1949.46,-633.78,4080.51,0.0,1.7,1,1,1
2016-02-18,88,100,88,12,71534,35581,35953,0,None,0,0,None,Malaria,21332,Gas,48919,8,Stable,0.14,812.89,408.56,1202.64,0.0,1.14,0,1,1
2018-09-23,88,67,88,24,53074,61681,-8607,21,Rice,21,33936,None,Diarrhea,26571,Water,10758,5,Check food/donations,0.27,603.11,-97.81,1125.11,0.24,0.76,0,1,0
2006-03-31,48,13,48,8,79894,118925,-39031,35,Beans,35,69930,Sickness,None,0,Internet,44612,10,Check food/donations,0.17,1664.46,-813.15,3407.02,0.73,0.27,1,0,1
2016-11-03,59,70,59,9,35497,101083,-65586,0,None,0,0,None,None,0,Internet,34347,4,Check food/donations,0.15,601.64,-1111.63,2295.42,0.0,1.19,0,0,1
2004-03-22,97,25,97,25,149708,101554,48154,72,Maize Flour,72,127728,None,None,0,Gas,41293,8,Check food/donations,0.26,1543.38,496.43,1472.65,0.74,0.26,0,0,1
2017-09-16,33,83,33,5,1173,42038,-40865,0,None,0,0,None,Malaria,22353,Water,20151,9,Check food/donations,0.15,35.55,-1238.33,2561.88,0.0,2.52,0,1,0
2000-08-22,29,43,29,29,82445,57411,25034,0,None,0,0,None,None,0,Internet,30720,7,Stable,1.0,2842.93,863.24,3039.0,0.0,1.48,0,0,1
2002-03-11,53,13,53,8,8610,92089,-83479,40,Beans,40,60760,None,Fever,19099,Gas,43040,9,Check food/donations,0.15,162.45,-1575.08,2909.96,0.75,0.25,0,1,1
2001-04-08,30,77,30,15,63534,77947,-14413,0,None,0,0,None,None,0,Internet,41655,4,Check food/donations,0.5,2117.8,-480.43,3986.73,0.0,2.57,0,0,1
2016-02-04,73,91,73,6,105836,96342,9494,0,None,0,0,None,Malaria,10189,Gas,25546,9,Stable,0.08,1449.81,130.05,1809.27,0.0,1.25,0,1,0
2003-03-31,94,16,94,15,41567,51396,-9829,78,Rice,78,152100,None,Flu,21434,Water,32301,9,Check food/donations,0.16,442.2,-104.56,1118.41,0.83,0.17,0,1,1
2008-09-20,68,25,68,15,10196,103614,-93418,43,Vegetables,43,80023,Sickness,Diarrhea,29564,Electricity,37521,7,Check food/donations,0.22,149.94,-1373.79,2510.28,0.63,0.37,1,1,1
2020-03-23,67,31,67,9,70782,87427,-16645,36,Maize Flour,36,54864,None,Flu,20055,Internet,48144,3,Check food/donations,0.13,1056.45,-248.43,2322.78,0.54,0.46,0,1,1
2005-01-31,96,19,96,11,8821,49953,-41132,77,Rice,77,129437,None,None,0,Water,39620,5,Check food/donations,0.11,91.89,-428.46,933.05,0.8,0.2,0,0,1
2010-09-01,60,64,60,38,25963,32014,-6051,0,None,0,0,None,Flu,20667,Water,42640,6,Check food/donations,0.63,432.72,-100.85,1588.68,0.0,1.07,0,1,1
2010-12-11,82,63,82,23,89492,100842,-11350,19,Rice,19,33915,Power Outage,Diarrhea,16596,Water,43253,5,Check food/donations,0.28,1091.37,-138.41,1959.65,0.23,0.77,1,1,1
2006-07-04,48,55,48,32,59172,72790,-13618,0,None,0,0,None,Diarrhea,24916,Water,22974,8,Check food/donations,0.67,1232.75,-283.71,2514.17,0.0,1.15,0,1,0
2019-03-12,94,72,94,21,47237,95597,-48360,22,Maize Flour,22,35596,None,None,0,Internet,46189,10,Check food/donations,0.22,502.52,-514.47,1508.36,0.23,0.77,0,0,1
2000-06-22,94,49,94,36,76109,70168,5941,45,Vegetables,45,79380,None,Flu,7621,Water,42319,8,Check food/donations,0.38,809.67,63.2,1277.74,0.48,0.52,0,1,1
2006-10-04,23,53,23,28,147683,81589,66094,0,None,0,0,None,Fever,25475,Electricity,48560,6,Stable,1.22,6421.0,2873.65,6766.26,0.0,2.3,0,1,1
2006-08-18,41,36,41,14,449,51550,-51101,5,Vegetables,5,8970,Water Shortage,Diarrhea,4941,Internet,15862,8,Check food/donations,0.34,10.95,-1246.37,1764.71,0.12,0.88,1,1,0
2009-01-21,57,32,57,30,143511,41853,101658,25,Rice,25,38950,None,None,0,Internet,31418,5,Check food/donations,0.53,2517.74,1783.47,1285.46,0.44,0.56,0,0,1
2007-10-10,28,61,28,14,23458,65114,-41656,0,None,0,0,Water Shortage,Diarrhea,11401,Water,34792,6,Check food/donations,0.5,837.79,-1487.71,3975.25,0.0,2.18,1,1,1
2020-03-27,90,62,90,16,28949,28385,564,28,Maize Flour,28,46312,None,Flu,7418,Electricity,16128,9,Check food/donations,0.18,321.66,6.27,577.01,0.31,0.69,0,1,0
2001-06-18,70,99,70,20,118831,88940,29891,0,None,0,0,None,Diarrhea,27962,Gas,32515,5,Stable,0.29,1697.59,427.01,2134.53,0.0,1.41,0,1,1
2006-04-07,90,59,90,29,25375,102932,-77557,31,Rice,31,50220,None,Diarrhea,3398,Gas,27781,3,Check food/donations,0.32,281.94,-861.74,1490.12,0.34,0.66,0,1,0
2005-01-24,86,12,86,6,144334,52317,92017,74,Vegetables,74,120990,None,None,0,Electricity,38187,6,Check food/donations,0.07,1678.3,1069.97,1052.37,0.86,0.14,0,0,1
2016-11-24,90,100,90,22,40693,56001,-15308,0,None,0,0,Power Outage,Fever,21453,Internet,14258,4,Check food/donations,0.24,452.14,-170.09,1019.02,0.0,1.11,1,1,0
2020-07-18,54,21,54,12,78376,64956,13420,33,Rice,33,58212,Sickness,Fever,6318,Internet,32951,5,Check food/donations,0.22,1451.41,248.52,1930.09,0.61,0.39,1,1,1
2000-06-02,46,26,46,7,57243,46258,10985,20,Beans,20,38020,None,Malaria,10273,Water,37046,5,Check food/donations,0.15,1244.41,238.8,2034.28,0.43,0.57,0,1,1
2017-03-16,71,22,71,21,31843,47895,-16052,49,Beans,49,77028,Power Outage,Flu,17347,Gas,32556,5,Check food/donations,0.3,448.49,-226.08,1377.44,0.69,0.31,1,1,1
2002-12-31,95,20,95,20,124962,40031,84931,75,Vegetables,75,114450,None,Flu,21587,Electricity,27083,7,Check food/donations,0.21,1315.39,894.01,933.69,0.79,0.21,0,1,0
2018-11-14,20,94,20,10,15143,117779,-102636,0,None,0,0,None,Malaria,911,Electricity,30922,10,Check food/donations,0.5,757.15,-5131.8,7480.6,0.0,4.7,0,1,1
2003-01-11,76,62,76,12,94094,81991,12103,14,Rice,14,21714,None,None,0,Electricity,30699,8,Check food/donations,0.16,1238.08,159.25,1482.76,0.18,0.82,0,0,1
2007-12-21,72,59,72,13,119720,54606,65114,13,Maize Flour,13,21554,None,None,0,Internet,49896,5,Check food/donations,0.18,1662.78,904.36,1451.42,0.18,0.82,0,0,1
2007-05-09,50,72,50,16,59866,37698,22168,0,None,0,0,None,Flu,10184,Electricity,46961,4,Stable,0.32,1197.32,443.36,1896.86,0.0,1.44,0,1,1
2000-07-05,52,39,52,28,140427,62239,78188,13,Beans,13,20657,None,Diarrhea,29589,Water,22101,9,Check food/donations,0.54,2700.52,1503.62,2190.94,0.25,0.75,0,1,0
2010-12-25,96,56,96,39,100822,28446,72376,40,Vegetables,40,71160,None,Diarrhea,6103,Electricity,24949,9,Check food/donations,0.41,1050.23,753.92,619.77,0.42,0.58,0,1,0
2016-12-29,70,69,70,18,96035,21374,74661,1,Maize Flour,1,1881,Power Outage,None,0,Gas,44579,8,Check food/donations,0.26,1371.93,1066.59,942.19,0.01,0.99,1,0,1
2001-08-11,63,52,63,13,63099,41170,21929,11,Rice,11,19756,None,Diarrhea,28190,Internet,28418,8,Check food/donations,0.21,1001.57,348.08,1552.03,0.17,0.83,0,1,0
2010-07-11,99,52,99,9,72097,96629,-24532,47,Beans,47,71957,Sickness,Fever,11991,Electricity,49961,10,Check food/donations,0.09,728.25,-247.8,1601.83,0.47,0.53,1,1,1
2017-03-31,32,81,32,26,136200,89600,46600,0,None,0,0,None,Flu,937,Electricity,18479,4,Stable,0.81,4256.25,1456.25,3406.75,0.0,2.53,0,1,0
2019-04-14,45,36,45,24,136206,119900,16306,9,Rice,9,14040,Sickness,Fever,7255,Electricity,15386,9,Check food/donations,0.53,3026.8,362.36,3167.58,0.2,0.8,1,1,0
2012-02-23,75,45,75,22,105878,26368,79510,30,Vegetables,30,56610,None,Flu,25833,Gas,15844,6,Check food/donations,0.29,1411.71,1060.13,907.27,0.4,0.6,0,1,0
2018-03-20,51,71,51,40,113787,66382,47405,0,None,0,0,None,Malaria,24117,Electricity,46363,7,Stable,0.78,2231.12,929.51,2683.57,0.0,1.39,0,1,1
2014-01-26,83,46,83,35,105264,63863,41401,37,Beans,37,72409,None,None,0,Gas,32795,8,Check food/donations,0.42,1268.24,498.81,1164.55,0.45,0.55,0,0,1
2012-10-17,84,73,84,14,52391,118833,-66442,11,Maize Flour,11,21912,None,Fever,4524,Gas,27707,6,Check food/donations,0.17,623.7,-790.98,1798.38,0.13,0.87,0,1,0
2008-07-14,78,39,78,5,47186,53074,-5888,39,Rice,39,72852,None,None,0,Water,14581,9,Check food/donations,0.06,604.95,-75.49,867.37,0.5,0.5,0,0,0
2008-06-17,50,35,50,34,12914,83349,-70435,15,Beans,15,24465,None,Malaria,22492,Gas,44603,9,Check food/donations,0.68,258.28,-1408.7,3008.88,0.3,0.7,0,1,1
2007-06-25,90,97,90,19,122645,64424,58221,0,None,0,0,None,Flu,12894,Electricity,35415,3,Stable,0.21,1362.72,646.9,1252.59,0.0,1.08,0,1,1
2006-01-22,58,65,58,10,37280,94550,-57270,0,None,0,0,None,Flu,24514,Gas,48941,9,Check food/donations,0.17,642.76,-987.41,2896.64,0.0,1.12,0,1,1
2015-11-02,24,76,24,5,115384,46491,68893,0,None,0,0,None,Fever,19593,Gas,27546,10,Stable,0.21,4807.67,2870.54,3901.25,0.0,3.17,0,1,0
2001-02-22,24,32,24,13,112468,22761,89707,0,None,0,0,None,None,0,Internet,42307,5,Stable,0.54,4686.17,3737.79,2711.17,0.0,1.33,0,0,1
2005-08-19,97,90,97,19,135079,66770,68309,7,Vegetables,7,11690,None,Diarrhea,17678,Electricity,43624,4,Check food/donations,0.2,1392.57,704.22,1320.33,0.07,0.93,0,1,1
2013-01-18,99,71,99,23,128832,76064,52768,28,Maize Flour,28,42560,None,Flu,27634,Internet,32256,4,Check food/donations,0.23,1301.33,533.01,1373.27,0.28,0.72,0,1,1
