Date,Num_Children,Food_Remaining (kg),Daily_Need (kg),Food_Used (kg),Donation_Amount (Tsh),Expense_Total (Tsh),Budget_Left (Tsh),Food_Shortage (kg),Suggested_Purchase,Quantity_To_Buy,Estimated_Cost (Tsh),Emergency_Event,Medical_Treatment,Medical_Cost,Utility_Type,Utility_Cost,Staff_On_Duty,Notes,Food_Per_Child,Donation_Per_Child,Budget_Per_Child
2005-10-08,30,36,30,8,29833,38985,-9152,0,None,0,0,Power Outage,Fever,5418,Internet,21280,9,Check food/donations,0.27,994.43,-305.07
2017-08-31,89,45,89,20,146633,114637,31996,44,Vegetables,44,79376,Power Outage,Malaria,21796,Electricity,37414,6,Check food/donations,0.22,1647.56,359.51
2004-07-16,27,66,27,18,109024,28804,80220,0,None,0,0,None,Malaria,16258,Electricity,49720,7,Stable,0.67,4037.93,2971.11
2004-11-21,52,26,52,22,79086,83732,-4646,26,Rice,26,42198,None,None,0,Electricity,22946,4,Check food/donations,0.42,1520.88,-89.35
2003-01-01,54,73,54,6,14555,41874,-27319,0,None,0,0,None,None,0,Gas,11936,10,Check food/donations,0.11,269.54,-505.91
2013-07-04,96,21,96,5,29685,94551,-64866,75,Beans,75,125025,None,Diarrhea,20086,Gas,22507,3,Check food/donations,0.05,309.22,-675.69
1999-06-19,45,66,45,30,21014,113137,-92123,0,None,0,0,None,Fever,22379,Gas,41975,5,Check food/donations,0.67,466.98,-2047.18
2003-06-20,88,54,88,14,134658,39092,95566,34,Beans,34,58548,Sickness,Malaria,24283,Electricity,35645,9,Check food/donations,0.16,1530.2,1085.98
2001-08-14,70,60,70,13,122166,72592,49574,10,Maize Flour,10,17200,None,Flu,19117,Electricity,40739,9,Check food/donations,0.19,1745.23,708.2
2007-04-29,44,97,44,27,56703,28005,28698,0,None,0,0,None,Malaria,28580,Internet,49321,7,Stable,0.61,1288.7,652.23
2002-02-06,71,64,71,13,121298,105486,15812,7,Beans,7,13076,None,Diarrhea,11829,Electricity,35388,9,Check food/donations,0.18,1708.42,222.7
2015-11-12,52,90,52,34,29376,74673,-45297,0,None,0,0,Water Shortage,None,0,Internet,13955,9,Check food/donations,0.65,564.92,-871.1
2015-10-29,83,68,83,15,84561,60818,23743,15,Beans,15,23490,None,Flu,23897,Internet,30879,8,Check food/donations,0.18,1018.81,286.06
2017-08-22,36,14,36,9,20282,103428,-83146,22,Beans,22,37136,Fire,Fever,19491,Gas,17643,5,Check food/donations,0.25,563.39,-2309.61
2002-09-06,60,15,60,7,147266,101124,46142,45,Rice,45,83475,Sickness,Malaria,21302,Electricity,25358,3,Check food/donations,0.12,2454.43,769.03
2012-10-04,57,31,57,30,82524,92894,-10370,26,Maize Flour,26,50570,Sickness,Malaria,6628,Gas,10178,5,Check food/donations,0.53,1447.79,-181.93
2003-04-22,70,48,70,27,84562,57339,27223,22,Beans,22,37994,None,Malaria,17946,Gas,35525,5,Check food/donations,0.39,1208.03,388.9
1999-05-12,22,58,22,30,62263,98706,-36443,0,None,0,0,None,None,0,Internet,24639,7,Check food/donations,1.36,2830.14,-1656.5
2000-02-03,87,53,87,38,114179,77046,37133,34,Maize Flour,34,55862,Fire,None,0,Gas,41615,8,Check food/donations,0.44,1312.4,426.82
2012-07-20,88,78,88,33,108532,43450,65082,10,Vegetables,10,19850,None,Diarrhea,3391,Gas,47991,10,Check food/donations,0.38,1233.32,739.57
2019-11-13,45,61,45,16,90314,64157,26157,0,None,0,0,None,None,0,Electricity,49332,8,Stable,0.36,2006.98,581.27
2008-05-13,91,74,91,27,94137,29409,64728,17,Maize Flour,17,26231,Fire,None,0,Internet,30225,3,Check food/donations,0.3,1034.47,711.3
2011-04-22,65,72,65,22,91046,57721,33325,0,None,0,0,None,Flu,28954,Water,31991,9,Stable,0.34,1400.71,512.69
2004-01-20,68,30,68,25,40423,28642,11781,38,Maize Flour,38,67070,Sickness,Diarrhea,22278,Internet,11924,4,Check food/donations,0.37,594.46,173.25
2011-03-01,82,42,82,13,40674,21250,19424,40,Rice,40,64760,None,Diarrhea,2107,Gas,32592,10,Check food/donations,0.16,496.02,236.88
2017-12-26,64,16,64,9,136499,97092,39407,48,Maize Flour,48,88080,Fire,None,0,Electricity,33355,8,Check food/donations,0.14,2132.8,615.73
2016-08-01,89,31,89,29,6699,64940,-58241,58,Beans,58,111418,Sickness,Flu,4731,Gas,24928,7,Check food/donations,0.33,75.27,-654.39
2016-10-13,22,36,22,35,55567,33186,22381,0,None,0,0,None,Diarrhea,10512,Electricity,32045,6,Stable,1.59,2525.77,1017.32
2003-02-10,97,45,97,27,101474,85217,16257,52,Beans,52,100516,None,None,0,Electricity,47587,5,Check food/donations,0.28,1046.12,167.6
2005-02-21,21,95,21,35,81550,63656,17894,0,None,0,0,None,Diarrhea,28228,Gas,12238,9,Stable,1.67,3883.33,852.1
2016-10-13,44,82,44,23,115123,99534,15589,0,None,0,0,None,Malaria,517,Internet,47681,9,Stable,0.52,2616.43,354.3
2017-09-23,97,22,97,7,74495,53987,20508,75,Vegetables,75,146700,Sickness,None,0,Gas,28924,9,Check food/donations,0.07,767.99,211.42
2020-02-23,57,24,57,8,96576,38740,57836,33,Beans,33,63228,None,Malaria,29043,Internet,31513,3,Check food/donations,0.14,1694.32,1014.67
2000-05-12,77,37,77,13,2173,28991,-26818,40,Beans,40,71760,None,Diarrhea,9746,Internet,48299,5,Check food/donations,0.17,28.22,-348.29
1999-12-22,55,51,55,7,148696,33509,115187,4,Beans,4,6512,None,Malaria,23444,Electricity,33622,6,Check food/donations,0.13,2703.56,2094.31
2008-10-06,38,26,38,17,109090,110947,-1857,12,Maize Flour,12,22404,Power Outage,Fever,25273,Electricity,33637,9,Check food/donations,0.45,2870.79,-48.87
2003-11-18,75,31,75,12,78489,108468,-29979,44,Beans,44,66968,None,Diarrhea,5995,Water,25231,8,Check food/donations,0.16,1046.52,-399.72
2017-03-05,73,37,73,7,18783,58801,-40018,36,Beans,36,60336,None,Diarrhea,10821,Internet,29493,4,Check food/donations,0.1,257.3,-548.19
2010-09-11,84,19,84,9,24211,114771,-90560,65,Vegetables,65,112450,Water Shortage,None,0,Gas,46166,8,Check food/donations,0.11,288.23,-1078.1
2013-07-18,38,70,38,35,85774,48220,37554,0,None,0,0,None,Diarrhea,25187,Electricity,10721,7,Stable,0.92,2257.21,988.26
2003-02-21,96,98,96,15,46362,51643,-5281,0,None,0,0,None,Flu,4915,Internet,36287,6,Check food/donations,0.16,482.94,-55.01
2008-10-27,36,12,36,7,76884,85083,-8199,24,Maize Flour,24,41088,Power Outage,Malaria,10241,Electricity,26085,5,Check food/donations,0.19,2135.67,-227.75
2001-08-09,88,48,88,37,74240,104720,-30480,40,Vegetables,40,63000,None,Fever,4831,Internet,45934,6,Check food/donations,0.42,843.64,-346.36
2002-09-29,47,67,47,12,72755,98289,-25534,0,None,0,0,Fire,Flu,28206,Electricity,10806,5,Check food/donations,0.26,1547.98,-543.28
2002-01-07,53,96,53,33,20129,69698,-49569,0,None,0,0,None,None,0,Water,39909,4,Check food/donations,0.62,379.79,-935.26
2019-09-23,56,80,56,30,143997,114529,29468,0,None,0,0,None,None,0,Water,33085,3,Stable,0.54,2571.38,526.21
2020-03-20,94,35,94,12,129699,80726,48973,59,Maize Flour,59,115345,None,Fever,20276,Internet,28336,9,Check food/donations,0.13,1379.78,520.99
2000-04-15,72,15,72,10,105399,59488,45911,57,Beans,57,90858,None,Flu,27258,Electricity,34892,4,Check food/donations,0.14,1463.88,637.65
2013-09-06,73,19,73,9,123121,92880,30241,54,Rice,54,106758,None,Diarrhea,1440,Water,36301,3,Check food/donations,0.12,1686.59,414.26
2019-12-23,79,98,79,39,22095,69751,-47656,0,None,0,0,None,Fever,2460,Electricity,10916,6,Check food/donations,0.49,279.68,-603.24
2008-02-17,59,49,59,23,136281,107897,28384,10,Rice,10,15070,None,Flu,25941,Electricity,19222,10,Check food/donations,0.39,2309.85,481.08
2001-01-17,61,73,61,7,2262,20617,-18355,0,None,0,0,None,None,0,Water,22809,6,Check food/donations,0.11,37.08,-300.9
2014-09-28,37,68,37,26,75953,45333,30620,0,None,0,0,None,Flu,29992,Gas,33353,7,Stable,0.7,2052.78,827.57
2008-04-07,88,64,88,16,37202,94931,-57729,24,Vegetables,24,44568,None,Malaria,28118,Electricity,18225,3,Check food/donations,0.18,422.75,-656.01
2010-04-14,39,66,39,12,70494,112245,-41751,0,None,0,0,None,Fever,6445,Water,42916,6,Check food/donations,0.31,1807.54,-1070.54
1999-06-17,52,43,52,28,104795,44419,60376,9,Maize Flour,9,16488,Power Outage,Diarrhea,3286,Electricity,46841,8,Check food/donations,0.54,2015.29,1161.08
2003-01-28,43,58,43,32,1508,51284,-49776,0,None,0,0,Power Outage,Fever,20315,Water,44673,9,Check food/donations,0.74,35.07,-1157.58
2010-07-09,33,68,33,5,40546,80055,-39509,0,None,0,0,None,None,0,Water,16789,4,Check food/donations,0.15,1228.67,-1197.24
2011-11-20,30,63,30,6,130739,37150,93589,0,None,0,0,None,None,0,Electricity,16036,3,Stable,0.2,4357.97,3119.63
2013-04-25,71,39,71,36,4755,109164,-104409,32,Rice,32,61216,None,Flu,29856,Gas,28593,8,Check food/donations,0.51,66.97,-1470.55
2013-01-31,25,15,25,15,55122,115951,-60829,10,Vegetables,10,15380,Sickness,Flu,11329,Electricity,16749,7,Check food/donations,0.6,2204.88,-2433.16
2014-03-03,48,91,48,37,75101,27804,47297,0,None,0,0,Power Outage,Malaria,4647,Gas,29160,5,Stable,0.77,1564.6,985.35
2011-02-28,91,84,91,7,120661,97344,23317,7,Maize Flour,7,12621,None,Diarrhea,7467,Water,23864,6,Check food/donations,0.08,1325.95,256.23
2016-05-06,35,28,35,24,60459,39691,20768,7,Vegetables,7,13769,None,Malaria,29422,Electricity,43315,8,Check food/donations,0.69,1727.4,593.37
2001-12-28,96,52,96,28,75752,112817,-37065,44,Maize Flour,44,76208,None,Fever,18393,Internet,41520,9,Check food/donations,0.29,789.08,-386.09
2012-05-16,51,28,51,16,138424,110623,27801,23,Vegetables,23,39836,Power Outage,Diarrhea,29886,Gas,12349,7,Check food/donations,0.31,2714.2,545.12
2007-06-20,41,64,41,35,77722,46358,31364,0,None,0,0,None,Flu,14193,Water,34295,3,Stable,0.85,1895.66,764.98
2000-12-19,94,80,94,14,42117,87675,-45558,14,Vegetables,14,27888,None,Diarrhea,949,Internet,28161,3,Check food/donations,0.15,448.05,-484.66
2000-12-13,74,58,74,39,43722,81521,-37799,16,Maize Flour,16,26272,None,Flu,26512,Water,49704,6,Check food/donations,0.53,590.84,-510.8
2018-12-30,69,77,69,31,64267,52635,11632,0,None,0,0,Water Shortage,None,0,Gas,36196,6,Stable,0.45,931.41,168.58
2011-11-11,35,75,35,12,40374,107104,-66730,0,None,0,0,Sickness,Malaria,14517,Gas,37283,5,Check food/donations,0.34,1153.54,-1906.57
2008-03-23,48,55,48,39,108843,54401,54442,0,None,0,0,None,Flu,15485,Gas,46817,10,Stable,0.81,2267.56,1134.21
2000-04-16,72,74,72,29,9897,26474,-16577,0,None,0,0,None,Malaria,18965,Electricity,23523,6,Check food/donations,0.4,137.46,-230.24
2008-12-24,44,41,44,39,140102,73714,66388,3,Beans,3,4806,None,Malaria,29073,Internet,18122,3,Check food/donations,0.89,3184.14,1508.82
2003-12-30,95,34,95,15,3972,62738,-58766,61,Beans,61,95282,None,Malaria,10565,Water,43982,10,Check food/donations,0.16,41.81,-618.59
2010-06-16,63,68,63,12,91298,60306,30992,0,None,0,0,Power Outage,Malaria,27973,Gas,16335,5,Stable,0.19,1449.17,491.94
2006-09-01,70,61,70,11,87357,82370,4987,9,Rice,9,14931,None,Diarrhea,15553,Internet,11339,7,Check food/donations,0.16,1247.96,71.24
1999-12-23,47,50,47,18,13547,34767,-21220,0,None,0,0,Sickness,Diarrhea,3704,Gas,20910,3,Check food/donations,0.38,288.23,-451.49
2008-11-07,70,73,70,37,121610,73749,47861,0,None,0,0,None,Diarrhea,15724,Gas,29376,5,Stable,0.53,1737.29,683.73
2020-02-17,47,37,47,36,66424,20567,45857,10,Vegetables,10,15410,None,Flu,17632,Internet,14982,10,Check food/donations,0.77,1413.28,975.68
2008-07-11,34,32,34,27,85465,27702,57763,2,Vegetables,2,3074,Power Outage,None,0,Electricity,21259,8,Check food/donations,0.79,2513.68,1698.91
2008-09-27,97,55,97,15,60895,89645,-28750,42,Rice,42,75432,None,Fever,10104,Water,15786,4,Check food/donations,0.15,627.78,-296.39
2014-09-24,39,92,39,8,103731,22912,80819,0,None,0,0,None,Diarrhea,11880,Gas,19292,7,Stable,0.21,2659.77,2072.28
2001-05-27,89,32,89,5,138414,77387,61027,57,Rice,57,92283,None,Malaria,4979,Electricity,40944,3,Check food/donations,0.06,1555.21,685.7
1999-04-24,81,81,81,18,128611,42512,86099,0,None,0,0,None,Flu,20662,Electricity,42151,8,Stable,0.22,1587.79,1062.95
2000-01-07,46,98,46,32,93833,62976,30857,0,None,0,0,Power Outage,Diarrhea,3601,Water,13608,3,Stable,0.7,2039.85,670.8
2009-11-02,69,67,69,38,63952,86414,-22462,2,Beans,2,3426,None,Malaria,36,Electricity,31853,9,Check food/donations,0.55,926.84,-325.54
2008-03-22,34,65,34,22,19392,57283,-37891,0,None,0,0,None,Fever,7956,Internet,47641,5,Check food/donations,0.65,570.35,-1114.44
2012-04-20,66,28,66,9,49414,80783,-31369,38,Beans,38,59660,None,Diarrhea,26150,Water,13786,6,Check food/donations,0.14,748.7,-475.29
2008-10-11,52,34,52,32,107068,89123,17945,18,Vegetables,18,27846,None,None,0,Internet,29529,5,Check food/donations,0.62,2059.0,345.1
2012-05-07,82,56,82,12,147068,116753,30315,26,Rice,26,43212,None,Diarrhea,719,Electricity,49007,9,Check food/donations,0.15,1793.51,369.7
2014-01-10,30,36,30,5,106123,109932,-3809,0,None,0,0,None,Fever,21949,Water,32559,8,Check food/donations,0.17,3537.43,-126.97
2004-09-03,57,81,57,37,126509,67197,59312,0,None,0,0,None,Malaria,22428,Water,26010,6,Stable,0.65,2219.46,1040.56
2014-05-21,25,95,25,11,135750,81645,54105,0,None,0,0,Sickness,Fever,25728,Electricity,35942,7,Stable,0.44,5430.0,2164.2
2020-10-12,66,99,66,11,12594,23858,-11264,0,None,0,0,None,None,0,Internet,14129,10,Check food/donations,0.17,190.82,-170.67
2009-03-07,98,42,98,14,141500,30975,110525,56,Beans,56,103600,None,Fever,2662,Electricity,18656,7,Check food/donations,0.14,1443.88,1127.81
2012-10-18,23,61,23,19,79610,84983,-5373,0,None,0,0,None,Flu,1954,Electricity,28663,7,Check food/donations,0.83,3461.3,-233.61
2004-08-30,20,17,20,9,28851,29031,-180,3,Beans,3,5856,None,Diarrhea,8520,Gas,23628,9,Check food/donations,0.45,1442.55,-9.0
2013-08-13,76,88,76,24,88248,35296,52952,0,None,0,0,Water Shortage,Diarrhea,16015,Internet,12720,9,Stable,0.32,1161.16,696.74
2001-05-19,77,35,77,32,58002,70428,-12426,42,Maize Flour,42,71316,None,None,0,Water,31014,10,Check food/donations,0.42,753.27,-161.38
2009-01-08,52,83,52,15,141863,53632,88231,0,None,0,0,None,Diarrhea,21032,Water,44922,8,Stable,0.29,2728.13,1696.75
2001-03-10,56,77,56,7,56465,65722,-9257,0,None,0,0,Fire,Flu,14603,Gas,22962,10,Check food/donations,0.12,1008.3,-165.3
2006-08-14,72,19,72,12,131532,58071,73461,53,Beans,53,100435,None,Flu,14119,Internet,23374,10,Check food/donations,0.17,1826.83,1020.29
2012-04-15,42,32,42,23,49534,67649,-18115,10,Beans,10,16220,None,Fever,5551,Gas,40781,8,Check food/donations,0.55,1179.38,-431.31
2014-07-19,99,44,99,21,72776,81345,-8569,55,Rice,55,96745,None,Flu,673,Water,23959,7,Check food/donations,0.21,735.11,-86.56
2016-12-31,67,80,67,14,114950,87291,27659,0,None,0,0,Power Outage,Malaria,21420,Internet,12823,8,Stable,0.21,1715.67,412.82
2004-07-30,59,47,59,12,53825,23299,30526,12,Rice,12,18756,Power Outage,Diarrhea,4365,Gas,40297,3,Check food/donations,0.2,912.29,517.39
2019-03-02,94,20,94,17,63787,42878,20909,74,Vegetables,74,112184,None,Fever,12265,Gas,15505,6,Check food/donations,0.18,678.59,222.44
2001-10-29,36,18,36,17,723,82290,-81567,18,Vegetables,18,28548,None,Flu,4737,Internet,11244,10,Check food/donations,0.47,20.08,-2265.75
2010-01-15,29,84,29,15,47578,113056,-65478,0,None,0,0,None,None,0,Internet,30408,10,Check food/donations,0.52,1640.62,-2257.86
2000-04-04,90,28,90,10,93124,35491,57633,62,Vegetables,62,99200,None,Flu,2921,Electricity,19129,6,Check food/donations,0.11,1034.71,640.37
2013-10-25,99,13,99,5,137717,24249,113468,86,Vegetables,86,133042,Sickness,Fever,16834,Gas,43612,3,Check food/donations,0.05,1391.08,1146.14
2016-08-17,57,88,57,5,80667,74626,6041,0,None,0,0,Fire,Malaria,14017,Internet,43919,4,Stable,0.09,1415.21,105.98
2007-02-07,30,58,30,26,60421,89957,-29536,0,None,0,0,None,Fever,1375,Gas,17671,7,Check food/donations,0.87,2014.03,-984.53
2020-10-21,28,20,28,15,107158,99217,7941,8,Maize Flour,8,12968,None,Malaria,328,Internet,33047,7,Check food/donations,0.54,3827.07,283.61
2016-12-14,51,22,51,19,123390,90980,32410,29,Rice,29,47415,Sickness,None,0,Internet,34419,4,Check food/donations,0.37,2419.41,635.49
2001-08-29,89,52,89,6,117156,33160,83996,37,Maize Flour,37,62419,None,Malaria,9927,Internet,43809,3,Check food/donations,0.07,1316.36,943.78
2019-11-02,98,69,98,26,10123,79015,-68892,29,Rice,29,52548,None,Flu,17055,Gas,31133,10,Check food/donations,0.27,103.3,-702.98
2007-03-23,24,56,24,12,8394,30918,-22524,0,None,0,0,None,Malaria,25609,Internet,14090,9,Check food/donations,0.5,349.75,-938.5
2019-11-24,45,26,45,19,203,99827,-99624,19,Maize Flour,19,35549,None,None,0,Gas,36418,5,Check food/donations,0.42,4.51,-2213.87
2015-11-23,54,47,54,22,63677,71310,-7633,7,Rice,7,13860,None,Malaria,7220,Water,33904,8,Check food/donations,0.41,1179.2,-141.35
2003-05-04,84,31,84,6,29068,20991,8077,53,Maize Flour,53,90259,None,Diarrhea,20193,Electricity,49294,8,Check food/donations,0.07,346.05,96.15
2011-11-02,40,45,40,27,76707,107678,-30971,0,None,0,0,None,Flu,15584,Electricity,41234,3,Check food/donations,0.68,1917.67,-774.27
2000-04-30,86,35,86,17,5303,116973,-111670,51,Beans,51,94401,Water Shortage,Malaria,19347,Electricity,38996,3,Check food/donations,0.2,61.66,-1298.49
2002-03-18,44,67,44,33,60236,56025,4211,0,None,0,0,None,Malaria,25370,Gas,40780,5,Stable,0.75,1369.0,95.7
2007-12-07,28,16,28,13,101629,113524,-11895,12,Maize Flour,12,22272,Sickness,Fever,10313,Gas,47592,8,Check food/donations,0.46,3629.61,-424.82
2001-03-13,32,82,32,31,92164,88909,3255,0,None,0,0,None,Flu,3856,Water,39961,6,Stable,0.97,2880.12,101.72
2007-03-05,21,42,21,24,63285,119507,-56222,0,None,0,0,None,Diarrhea,6055,Water,18905,6,Check food/donations,1.14,3013.57,-2677.24
2012-11-12,95,49,95,25,65000,55949,9051,46,Beans,46,79902,None,Fever,14120,Water,30743,7,Check food/donations,0.26,684.21,95.27
2006-02-08,52,73,52,15,23163,69710,-46547,0,None,0,0,Fire,Fever,7546,Water,11548,3,Check food/donations,0.29,445.44,-895.13
2016-09-20,20,26,20,26,20908,91720,-70812,0,None,0,0,None,Fever,21228,Electricity,39331,5,Check food/donations,1.3,1045.4,-3540.6
2000-11-13,49,46,49,16,16746,70866,-54120,3,Rice,3,4830,None,Malaria,17453,Water,38076,3,Check food/donations,0.33,341.76,-1104.49
2017-04-20,25,64,25,39,39112,38943,169,0,None,0,0,Fire,Flu,23646,Internet,33858,3,Stable,1.56,1564.48,6.76
2002-01-27,55,87,55,29,47700,107870,-60170,0,None,0,0,Water Shortage,Diarrhea,18257,Internet,29979,9,Check food/donations,0.53,867.27,-1094.0
2013-05-31,80,17,80,9,75310,24216,51094,63,Rice,63,110502,None,Diarrhea,9329,Gas,42078,10,Check food/donations,0.11,941.38,638.67
2014-07-04,65,71,65,20,61036,103694,-42658,0,None,0,0,Water Shortage,Flu,26792,Internet,26164,4,Check food/donations,0.31,939.02,-656.28
2015-10-28,50,33,50,33,136289,83507,52782,17,Maize Flour,17,25687,None,Malaria,19432,Internet,16111,4,Check food/donations,0.66,2725.78,1055.64
2007-09-18,74,43,74,21,10586,70715,-60129,31,Beans,31,59768,Power Outage,Malaria,9459,Internet,42794,4,Check food/donations,0.28,143.05,-812.55
2000-01-21,96,54,96,5,7204,61654,-54450,42,Maize Flour,42,69468,None,Fever,13546,Electricity,22510,8,Check food/donations,0.05,75.04,-567.19
2006-03-12,63,54,63,33,75459,26457,49002,9,Beans,9,14679,None,None,0,Electricity,19343,8,Check food/donations,0.52,1197.76,777.81
2014-09-21,32,29,32,25,38210,108677,-70467,3,Rice,3,5658,Fire,None,0,Gas,44915,10,Check food/donations,0.78,1194.06,-2202.09
2001-04-16,21,73,21,14,31093,85439,-54346,0,None,0,0,None,Diarrhea,24948,Gas,33449,6,Check food/donations,0.67,1480.62,-2587.9
2006-09-07,93,71,93,5,51110,74591,-23481,22,Rice,22,36256,None,Malaria,13541,Water,31993,10,Check food/donations,0.05,549.57,-252.48
2017-02-14,49,97,49,6,39344,74850,-35506,0,None,0,0,None,None,0,Internet,20306,4,Check food/donations,0.12,802.94,-724.61
2013-12-22,93,22,93,17,149792,47529,102263,71,Vegetables,71,108417,None,Diarrhea,10984,Electricity,37645,3,Check food/donations,0.18,1610.67,1099.6
2014-08-02,64,81,64,5,41892,102740,-60848,0,None,0,0,Sickness,Fever,3644,Water,43982,5,Check food/donations,0.08,654.56,-950.75
2020-04-14,50,41,50,11,133944,91472,42472,9,Rice,9,14229,Sickness,Malaria,29647,Internet,29086,7,Check food/donations,0.22,2678.88,849.44
2010-05-25,43,84,43,7,82641,70965,11676,0,None,0,0,None,Fever,20700,Electricity,18988,8,Stable,0.16,1921.88,271.53
2001-11-15,45,47,45,7,31547,31340,207,0,None,0,0,None,Flu,29880,Gas,30624,7,Stable,0.16,701.04,4.6
2001-06-17,78,83,78,30,78942,77226,1716,0,None,0,0,None,Flu,1794,Gas,34928,10,Stable,0.38,1012.08,22.0
2000-01-06,89,72,89,27,47570,51391,-3821,17,Rice,17,32045,None,Fever,13664,Internet,40617,4,Check food/donations,0.3,534.49,-42.93
2004-05-26,35,61,35,18,110208,63176,47032,0,None,0,0,None,Diarrhea,27328,Internet,13966,4,Stable,0.51,3148.8,1343.77
2020-11-29,76,33,76,5,32760,76498,-43738,43,Beans,43,72799,None,None,0,Water,18326,4,Check food/donations,0.07,431.05,-575.5
2008-05-02,67,57,67,17,45836,21590,24246,10,Maize Flour,10,15340,Sickness,None,0,Water,14957,7,Check food/donations,0.25,684.12,361.88
2008-11-25,88,51,88,33,13257,26733,-13476,37,Rice,37,57683,None,Fever,24945,Electricity,13791,6,Check food/donations,0.38,150.65,-153.14
2019-07-27,37,89,37,29,12039,46159,-34120,0,None,0,0,None,None,0,Electricity,10242,9,Check food/donations,0.78,325.38,-922.16
2020-12-12,58,85,58,27,19165,105837,-86672,0,None,0,0,Power Outage,None,0,Gas,38605,7,Check food/donations,0.47,330.43,-1494.34
2008-10-17,82,61,82,27,2592,36555,-33963,21,Maize Flour,21,34566,None,Diarrhea,25930,Internet,24284,9,Check food/donations,0.33,31.61,-414.18
2005-11-13,95,26,95,25,33274,26166,7108,69,Beans,69,125925,None,Malaria,22398,Internet,13220,7,Check food/donations,0.26,350.25,74.82
2002-12-19,65,21,65,18,74578,102995,-28417,44,Beans,44,69608,None,Diarrhea,23165,Water,16021,9,Check food/donations,0.28,1147.35,-437.18
2015-08-06,61,77,61,34,115830,56306,59524,0,None,0,0,None,Malaria,3783,Gas,37770,4,Stable,0.56,1898.85,975.8
1999-07-01,77,16,77,13,823,118346,-117523,61,Maize Flour,61,106445,None,Malaria,7406,Water,36616,5,Check food/donations,0.17,10.69,-1526.27
2014-09-18,27,12,27,9,102216,43471,58745,15,Beans,15,22785,None,Flu,12293,Electricity,19516,8,Check food/donations,0.33,3785.78,2175.74
2001-04-15,53,24,53,13,39178,55801,-16623,29,Vegetables,29,46487,None,Fever,2167,Water,40179,7,Check food/donations,0.25,739.21,-313.64
2009-05-24,30,69,30,23,123936,35251,88685,0,None,0,0,None,Fever,7409,Water,29982,8,Stable,0.77,4131.2,2956.17
2018-05-15,35,57,35,33,113866,23811,90055,0,None,0,0,None,Fever,28606,Internet,47841,9,Stable,0.94,3253.31,2573.0
2016-03-04,100,20,100,19,111582,31620,79962,80,Vegetables,80,146800,Fire,Flu,12539,Water,45014,6,Check food/donations,0.19,1115.82,799.62
2000-10-11,97,15,97,11,84012,25885,58127,82,Vegetables,82,123164,None,Flu,11789,Gas,17716,6,Check food/donations,0.11,866.1,599.25
2002-08-16,100,64,100,19,95919,53379,42540,36,Maize Flour,36,63432,None,Flu,22451,Internet,49540,7,Check food/donations,0.19,959.19,425.4
1999-09-18,49,69,49,37,111583,107189,4394,0,None,0,0,None,Diarrhea,12623,Electricity,38264,6,Stable,0.76,2277.2,89.67
2004-09-11,52,34,52,22,137150,45081,92069,18,Maize Flour,18,30762,Fire,Flu,23177,Water,40701,6,Check food/donations,0.42,2637.5,1770.56
1999-07-26,28,54,28,16,142692,38870,103822,0,None,0,0,None,Diarrhea,7801,Gas,41626,7,Stable,0.57,5096.14,3707.93
2011-08-18,46,50,46,37,124921,22101,102820,0,None,0,0,Sickness,Diarrhea,13267,Electricity,17924,6,Stable,0.8,2715.67,2235.22
2007-04-07,49,34,49,32,133551,36398,97153,15,Vegetables,15,26850,None,Malaria,28629,Electricity,22261,3,Check food/donations,0.65,2725.53,1982.71
2013-01-10,94,99,94,19,104547,113386,-8839,0,None,0,0,None,Fever,17420,Internet,42898,10,Check food/donations,0.2,1112.2,-94.03
1999-11-12,40,25,40,13,35712,54874,-19162,15,Rice,15,23955,Sickness,Flu,22151,Electricity,13928,6,Check food/donations,0.33,892.8,-479.05
2000-06-12,92,18,92,17,112783,28927,83856,74,Beans,74,143116,None,Flu,9473,Gas,35644,7,Check food/donations,0.18,1225.9,911.48
2017-08-11,86,95,86,26,148721,34062,114659,0,None,0,0,None,None,0,Gas,40844,9,Stable,0.3,1729.31,1333.24
2020-06-26,53,13,53,6,93073,66637,26436,40,Rice,40,74440,None,Fever,9392,Electricity,13786,5,Check food/donations,0.11,1756.09,498.79
2000-09-10,91,49,91,29,144355,67847,76508,42,Beans,42,65394,None,Malaria,10055,Gas,15388,10,Check food/donations,0.32,1586.32,840.75
2011-10-10,100,48,100,32,10372,105962,-95590,52,Maize Flour,52,92820,Sickness,None,0,Electricity,45729,10,Check food/donations,0.32,103.72,-955.9
2017-04-22,88,14,88,6,97006,62673,34333,74,Rice,74,143930,None,None,0,Water,27763,4,Check food/donations,0.07,1102.34,390.15
2013-07-20,36,71,36,22,40696,117591,-76895,0,None,0,0,None,Malaria,28438,Electricity,33458,6,Check food/donations,0.61,1130.44,-2135.97
2012-12-27,45,46,45,21,118941,70539,48402,0,None,0,0,None,Fever,24685,Water,39767,9,Stable,0.47,2643.13,1075.6
2001-04-04,73,68,73,9,15307,93932,-78625,5,Beans,5,9205,Sickness,None,0,Gas,25751,3,Check food/donations,0.12,209.68,-1077.05
2012-10-10,89,15,89,14,97742,98777,-1035,74,Beans,74,139490,Power Outage,Diarrhea,6086,Gas,31165,8,Check food/donations,0.16,1098.22,-11.63
